日割	投稿	タイトル	チャンネル	URL
59955	1d	【ライブ】アンクル・ボブが語るAI時代のソフトウェア基礎知識	Matt Pocock	https://youtu.be/zcLPGC-tvgk
47716	2d	Claude Codeを1000時間以上使い倒して分かったこと	The Coding Sloth	https://youtu.be/YAsxyoTWFDA
44555	1d	Claude Fable 5.1 リーク、Gemini の大規模アップデート、Anthro…	WorldofAI	https://youtu.be/J5HhFmjB9a4
37942	2d	DeepSeek Harness — The End of the Claude Code and Codex Era…	ZProger [ IT ]	https://youtu.be/6KtJk-MmhLE
34446	1d	Agent Opus：10分のYouTube動画をたった一度の指示で自動生成す…	Kingy AI	https://youtu.be/efmqHBZHkhU
34039	1d	AnthropicがClaude Code向け「/design」をリリース（最高すぎる…	Jay E | RoboNuggets	https://youtu.be/n96nkLgRfoI
33993	6d	DeepSeek Harness: The End of Claude Code?	NeuralNine	https://youtu.be/qg9EyGOZd9U
32577	6d	Claude watermarks your code now	Theo - t3․gg	https://youtu.be/Be-NqsW-wuk
31188	2d	I Tried Claude Code Design and It's...	midudev	https://youtu.be/4s-CA76dROQ
28637	2d	GPT-6「Astra」の大型アップデート、DeepSeek V5も間近、Cursor …	WorldofAI	https://youtu.be/toWaoplHKRg
26576	1d	DeepSeek V5リーク！Claude Codeの簡潔モード、Ornith 1.5、さら…	WorldofAI	https://youtu.be/Q6ZDUl2FhTU
22412	2d	Prompt Like a Director, Not a Prompt Engineer (updated Claud…	JOEY	https://youtu.be/5dWgZDka3Ww
19994	5d	Claude AIを使ってFiverrで稼ぐ — コーディングなしでクライア…	Shahid Anwar	https://youtu.be/oUU4EYGaS3A
17444	6d	CodexとClaude Codeに同じアプリを作らせてみた。勝者は明白。	Nate Herk | AI Automatio…	https://youtu.be/WCrnS09vpfo
15883	5d	Qwen 3.8 27Bが凄すぎる！過去最高のローカルAIモデル！実質ロー…	WorldofAI	https://youtu.be/J_aqblUWj4k
